SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Long
MSL-001,Nila Accra,,,,,,,,,,,SC,A,,,,,,ACCRA ROAD 1,,,,,,,,,,,,,,,,,,,,,,,,,Weekly,2,36.8249522,-1.2834304
MSL-002,Salama,,,,,,,,,,,SC,A,,,,,,ACCRA ROAD 1,,,,,,,,,,,,,,,,,,,,,,,,,Weekly,2,36.8249522,-1.2834304
MSL-003,Vidonge,,,,,,,,,,,SC,A,,,,,,ACCRA ROAD 1,,,,,,,,,,,,,,,,,,,,,,,,,Weekly,2,36.8249522,-1.2834304
MSL-004,Synerge,,,,,,,,,,,SC,A,,,,,,ACCRA ROAD 1,,,,,,,,,,,,,,,,,,,,,,,,,Weekly,2,36.8249522,-1.2834304
MSL-005,Medic Surge,,,,,,,,,,,SC,A,,,,,,GATUNDU 1,,,,,,,,,,,,,,,,,,,,,,,,,Weekly,2,36.7825813,-1.2782064
MSL-006,Mugira,,,,,,,,,,,SC,A,,,,,,GATUNDU 1,,,,,,,,,,,,,,,,,,,,,,,,,Weekly,2,36.7825813,-1.2782064
MSL-007,Gatundu Pharmacy,,,,,,,,,,,SC,A,,,,,,GATUNDU 1,,,,,,,,,,,,,,,,,,,,,,,,,Weekly,2,36.7825813,-1.2782064
MSL-008,Kirangi,,,,,,,,,,,SC,A,,,,,,GATUNDU 1,,,,,,,,,,,,,,,,,,,,,,,,,Weekly,2,36.7825813,-1.2782064
MSL-009,Gatundu Lab,,,,,,,,,,,SC,A,,,,,,GATUNDU 1,,,,,,,,,,,,,,,,,,,,,,,,,Weekly,2,36.7825813,-1.2782064
MSL-010,Juja Pharmacy,,,,,,,,,,,SC,A,,,,,,JUJA 1,,,,,,,,,,,,,,,,,,,,,,,,,Weekly,2,36.8412042,-1.2675661
