SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Long
UAEPHAR00001,Aster Pharmacy New Al Quoz,,,,,,,,,,,,,,,,,,  DUBAI-Aster Al Quoz 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1347894,55.2369693
UAEPHAR00002,Access  Pharmacy Al Quoz,,,,,,,,,,,,,,,,,,  DUBAI-Aster Al Quoz 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1347894,55.2369693
UAEPHAR00003,Aster Alfa Pharmacy Al Qusais,,,,,,,,,,,,,,,,,,  DUBAI-Aster Al Qusais,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2769816,55.3724294
UAEPHAR00004,Aster Medicom 14,,,,,,,,,,,,,,,,,,  DUBAI-Aster Al Qusais,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2769816,55.3724294
UAEPHAR00005,Aster Central Market Pharmacy,,,,,,,,,,,,,,,,,,  DUBAI-Aster Al Qusais,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2769816,55.3724294
UAEPHAR00006,Aster Pharmacy 101 Al Nadha 1,,,,,,,,,,,,,,,,,,  DUBAI-Aster Al Qusais,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2769816,55.3724294
UAEPHAR00007,Aster pharmacy Medicom 12 Rashidia,,,,,,,,,,,,,,,,,,  DUBAI-Aster Al Rashidiya,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2244647,55.3890309
UAEPHAR00008,Aster Pharmacy 146,,,,,,,,,,,,,,,,,,  DUBAI-Aster Bur Dubai 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2145565,55.3032906
UAEPHAR00009,Aster pharmacy Union,,,,,,,,,,,,,,,,,,  DUBAI-Aster Bur Dubai 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2145565,55.3032906
UAEPHAR00010,Aster Pharmacy al Musalla Bur Dubai,,,,,,,,,,,,,,,,,,  DUBAI-Aster Bur Dubai 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2145565,55.3032906
