SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Long,,,,,,,,,,,,,
UAEPHAR00001,ADVANCED CARE PHARMACY L.L.C.-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Al Quoz 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1347894,55.2369693,,,,,,,,,,,,,
UAEPHAR00002,ANBER PHARMACY-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Burdubai 3,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2145565,55.3032906,,,,,,,,,,,,,
UAEPHAR00003,BADR AL SAMAA PHARMACY L.L.C.-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Burdubai 3,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2145565,55.3032906,,,,,,,,,,,,,
UAEPHAR00004,BETTER LIFE PHARMACY-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Al Quoz 3,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1347894,55.2369693,,,,,,,,,,,,,
UAEPHAR00005,COUNTRY PHARMACY (DXB),,,,,,,,,,,,,,,,,,DUBAI-Burdubai 2,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2145565,55.3032906,,,,,,,,,,,,,
UAEPHAR00006,EXPERTS PHARMACY-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Al Quoz 2,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1347894,55.2369693,,,,,,,,,,,,,
UAEPHAR00007,GOLDEN SANDS PHARMACY L.L.C.-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Burdubai 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2145565,55.3032906,,,,,,,,,,,,,
UAEPHAR00008,JANSONS PHARMACY L.L.C.-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Burdubai 2,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2145565,55.3032906,,,,,,,,,,,,,
UAEPHAR00009,KAUSAR PHARMACY DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Burdubai 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2145565,55.3032906,,,,,,,,,,,,,
UAEPHAR00010,KHALIDHA PHARMACY L.L.C.-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Al Quoz 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1347894,55.2369693,,,,,,,,,,,,,
UAEPHAR00011,MUSALAH AL QUOZE PHARMACY L.L.C.-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Al Quoz 2,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1347894,55.2369693,,,,,,,,,,,,,
UAEPHAR00012,MUSALLA TOWER PHARMACY-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Burdubai 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2145565,55.3032906,,,,,,,,,,,,,
UAEPHAR00013,NEW COSMOPOLITAN PHARMACY L.L.C.-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Burdubai 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2145565,55.3032906,,,,,,,,,,,,,
UAEPHAR00014,RAFA PHARMACY (DXB),,,,,,,,,,,,,,,,,,DUBAI-Burdubai 2,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2145565,55.3032906,,,,,,,,,,,,,
UAEPHAR00015,RAIS PHARMACY-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Burdubai 3,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2145565,55.3032906,,,,,,,,,,,,,
