SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Long
MSL-001,OM SREE MEDICAL,,OSM,,,,,,,,,,,,,,,,Secundrabad +  East West Maredpally,,,,SECUNDERABAD,Telangana,INDIA,,,,,,,,,,,,,,,,,,,Monthly,3,17.4476284,78.5136962
MSL-002,SAI BALAJI MEDICAL,,SBM,,,,,,,,,,,,,,,,Secundrabad +  East West Maredpally,,,,SECUNDERABAD,Telangana,INDIA,,,,,,,,,,,,,,,,,,,Monthly,3,17.4488484,78.5142822
MSL-003,ELEGANCE PHARMACY,,EP,,,,,,,,,,,,,,,,Secundrabad +  East West Maredpally,,,,SECUNDERABAD,Telangana,INDIA,,,,,,,,,,,,,,,,,,,Monthly,3,17.4500684,78.5148682
MSL-004,MADHAVA MEDICAL,,MM,,,,,,,,,,,,,,,,Secundrabad +  East West Maredpally,,,,SECUNDERABAD,Telangana,INDIA,,,,,,,,,,,,,,,,,,,Monthly,3,17.4512884,78.5154542
MSL-005,HEALING TOUCH PHARMACY,,HTP,,,,,,,,,,,,,,,,Secundrabad +  East West Maredpally,,,,SECUNDERABAD,Telangana,INDIA,,,,,,,,,,,,,,,,,,,Monthly,3,17.4525084,78.5160402
MSL-006,GANGA MEDICAL,,GM,,,,,,,,,,,,,,,,Secundrabad +  East West Maredpally,,,,SECUNDERABAD,Telangana,INDIA,,,,,,,,,,,,,,,,,,,Monthly,3,17.4537284,78.5166262
MSL-007,SURYA MEDICAL,,SM,,,,,,,,,,,,,,,,Secundrabad +  East West Maredpally,,,,SECUNDERABAD,Telangana,INDIA,,,,,,,,,,,,,,,,,,,Monthly,3,17.4549484,78.5172122
MSL-008,SECUNDRABAD PHARMACY,,SP,,,,,,,,,,,,,,,,Secundrabad +  East West Maredpally,,,,SECUNDERABAD,Telangana,INDIA,,,,,,,,,,,,,,,,,,,Monthly,3,17.4561684,78.5177982
MSL-009,SHARADA MEDICAL,,SM,,,,,,,,,,,,,,,,Secundrabad +  East West Maredpally,,,,SECUNDERABAD,Telangana,INDIA,,,,,,,,,,,,,,,,,,,Monthly,3,17.4573884,78.5183842
MSL-010,SANJEEVANI MEDICAL,,SM,,,,,,,,,,,,,,,,Secundrabad +  East West Maredpally,,,,SECUNDERABAD,Telangana,INDIA,,,,,,,,,,,,,,,,,,,Monthly,3,17.4586084,78.5189702
MSL-011,CHETANA PHARMACY,,CP,,,,,,,,,,,,,,,,Malkajgiri + Begumpet,,,,SECUNDERABAD,Telangana,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4491041,78.5337625
MSL-012,KIMS PHARMACY,,KP,,,,,,,,,,,,,,,,Malkajgiri + Begumpet,,,,SECUNDERABAD,Telangana,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4491041,78.5337625
