SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Long
CHL-001,SRI SRINIVASA MEDICAL,,SSM,,,,,,,,,,,,,,,,Malakpet,SRI KRISHNA HOSP,MALAKPET,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3722658,78.48243
CHL-002,VENUS PHARMACY,,VP,,,,,,,,,,,,,,,,Malakpet,VENUS HOSPITAL,MALAKPET,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3722658,78.48243
CHL-003,AMITH MEDICAL HALL,,AMH,,,,,,,,,,,,,,,,Malakpet,PUSHPA HOSPITAL,MALAKPET,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3722658,78.48243
CHL-004,ANOOS MEDICAL HALL,,AMH,,,,,,,,,,,,,,,,Malakpet,SUSHRUTHA HOSP,MALAKPET,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3722658,78.48243
CHL-005,SRI LAKSHMI MEDICAL,,SLM,,,,,,,,,,,,,,,,Malakpet,SRI LAXMI HOSP,MALAKPET,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3722658,78.48243
CHL-006,VEJAYA MEDICAL HALL,,VMH,,,,,,,,,,,,,,,,Malakpet,ANITHA N HOME,MALAKPET,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3722658,78.48243
CHL-007,HEGDE PHARMACY,,HP,,,,,,,,,,,,,,,,Malakpet,HEGDE HOSP,MALAKPET,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3722658,78.48243
CHL-008,HYDERABAD HOSPITAL PHARMACY,,HHP,,,,,,,,,,,,,,,,Malakpet,HYD KIDNEY C,MALAKPET,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3722658,78.48243
CHL-009,NIKIL PHARMACY,,NP,,,,,,,,,,,,,,,,Dilsuknagar,NIKHIL HOSP,DSNR,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3691257,78.5177096
CHL-010,SIGMA PHARMACY,,SP,,,,,,,,,,,,,,,,Dilsuknagar,SIGMA HOSP,DSNR,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3691257,78.5177096
CHL-011,KAMALA PHARMACY,,KP,,,,,,,,,,,,,,,,Dilsuknagar,KAMALA HOSPITAL,DSNR,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3691257,78.5177096
CHL-012,PONGALURI PHARMACY,,PP,,,,,,,,,,,,,,,,Dilsuknagar,SAVITHA HOSP,DSNR,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3691257,78.5177096
