SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Long
CHL-001,NEW PREMIER MEDICALS,,NPM,,,,,,,,,,,,,,,,Hyderabad - 2,LANGAR HOUSE,,,HYDERABAD,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4639345,78.4282972
CHL-002,ST.TERISSA PHARMA,,SP,,,,,,,,,,,,,,,,Hyderabad - 2,ERRAGADDA,,,HYDERABAD,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4644805,78.4288652
CHL-003,NEELIMA MEDICALS,,NM,,,,,,,,,,,,,,,,Hyderabad - 2,ERRAGADDA,,,HYDERABAD,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4650265,78.4294332
CHL-004,CHALLA MEDICALS,,CM,,,,,,,,,,,,,,,,Hyderabad - 2,BALKAMPET,,,HYDERABAD,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4655725,78.4300012
CHL-005,RAGHAVA MEDICALS,,RM,,,,,,,,,,,,,,,,Hyderabad - 2,AMEERPET,,,HYDERABAD,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4661185,78.4305692
CHL-006,KARUDA PHARMA,,KP,,,,,,,,,,,,,,,,Hyderabad - 2,AMEERPET,,,HYDERABAD,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4666645,78.4311372
CHL-007,SRI SAI MEDICALS,,SSM,,,,,,,,,,,,,,,,Hyderabad - 2,REHAMATH NAGAR,,,HYDERABAD,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4672105,78.4317052
CHL-008,PAVITRA PHARMA,,PP,,,,,,,,,,,,,,,,Hyderabad - 2,REHAMATH NAGAR,,,HYDERABAD,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4677565,78.4322732
CHL-009,RANGA SAI MEDICAL AGENCIES,,RSMA,,,,,,,,,,,,,,,,Hyderabad - 2,PANJAGUTTA,,,HYDERABAD,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4683025,78.4328412
CHL-010,MUKESH MEDIICALS,,MM,,,,,,,,,,,,,,,,Hyderabad - 2,PANJAGUTTA,,,HYDERABAD,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4688485,78.4334092
CHL-011,ANUKAR PHARMASY,,AP,,,,,,,,,,,,,,,,Hyderabad - 2,PANJAGUTTA,,,HYDERABAD,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4693945,78.4339772
CHL-012,SSNIMS MEDICALS,,SM,,,,,,,,,,,,,,,,Hyderabad - 2,PANJAGUTTA,,,HYDERABAD,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4699405,78.4345452
CHL-013,AIG PHARMA,,AP,,,,,,,,,,,,,,,,Hyderabad - 2,PANJAGUTTA,,,HYDERABAD,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.4704865,78.4351132
