SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE(id),CHEMISTRATING(id),BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE(id),COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE(id),BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Long
CHL-001,KIRLOSKAR PHARMACY,,KP,,,,,,,,,,,,,,,SINDHU,Hyderabad - 1,BASHEERBAGH,,,,TELENGANA,INDIA,7207253888,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-002,SAII VANI PHARMA ,,SVP,,,,,,,,,,,,,,,INDHIRA,Hyderabad - 1,ASHOK NAGAR,,,,TELENGANA,INDIA,,040-27634463,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-003,SAI KRISHNA NEURO PHARMA,,SKNP,,,,,,,,,,,,,,,PRASAD,Hyderabad - 1,KACHIGUDA,,,,TELENGANA,INDIA,9849171169,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-004,C.C.SHROFF PHARMACY,,CCSP,,,,,,,,,,,,,,,SWAROOPA,Hyderabad - 1,KACHIGUDA,,,,TELENGANA,INDIA,9908025704,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-005,BRISTLECONE PHARMACY,,BP,,,,,,,,,,,,,,,MANGAREDDY,Hyderabad - 1,KACHIGUDA,,,,TELENGANA,INDIA,9959560644,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-006,SHALINI  PHARMACY,,SP,,,,,,,,,,,,,,,HUSSAIN,Hyderabad - 1,KACHIGUDA,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-007,HYDERABAD PHARMA,,HP,,,,,,,,,,,,,,,UDAY,Hyderabad - 1,BASHEERBAGH,,,,TELENGANA,INDIA,8522821972,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-008,RAMAYYA PRAMEELA PHARAMACY,,RPP,,,,,,,,,,,,,,,SMITHA,Hyderabad - 1,BASHEERBAGH,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-009,SATHYA PHARMACY,,SP,,,,,,,,,,,,,,,SAILAJA,Hyderabad - 1,HIMAYATHNAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-010,VIRINCHI PHARMACY,,VP,,,,,,,,,,,,,,,JAI,Hyderabad - 1,BANJARAHILLS,,,,TELENGANA,INDIA,9849411461,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-011,MEHMOODH MEDICALS,,MM,,,,,,,,,,,,,,,AFSAR,Hyderabad - 1,MALLEPALLI,,,,TELENGANA,INDIA,9701004944,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-012,SAI RAM MEDICALS,,SRM,,,,,,,,,,,,,,,VARA LAKSHMI,Hyderabad - 1,NARAYANAGUDA,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-013,KISHAN RAO PHARMACY,,KRP,,,,,,,,,,,,,,,KISHAN RAO,Hyderabad - 1,TILAKNAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-014,HOPE PHARMACY,,HP,,,,,,,,,,,,,,,VIJAY,Hyderabad - 1,TILAKNAGAR,,,,TELENGANA,INDIA,9246186154,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
