SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Long
CHL-001,J.B PHARMACY,,,,,,,,,,,,,,,,,,Malakpet,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3730927,78.4900381
CHL-002,RITZ MEDICALS,,,,,,,,,,,,,,,,,,Malakpet,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3730927,78.4900381
CHL-003,BHARAGAVI,,,,,,,,,,,,,,,,,,Malakpet,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3730927,78.4900381
CHL-004,CHANDRA ,,,,,,,,,,,,,,,,,,Malakpet,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3730927,78.4900381
CHL-005,APUROOP,,,,,,,,,,,,,,,,,,Malakpet,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3730927,78.4900381
CHL-006,MEDWIN,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-007,BALAJI,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-008,MAYURI,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-009,SRINIVASA,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-010,SHOBA,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
