SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Log
CHL-001,RAJA RAJESHWARA,,RR,,,,,,,,,,,,,,,Raju,Nizamabad,OPP BUSTAND,,nizamabad,NIZAMABAD,TELENGANA,INDIA,9603063939,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-002,New Health Care ,,NHC,,,,,,,,,,,,,,,naveen,Nizamabad,hyd road,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-003,Pragathi ,,P,,,,,,,,,,,,,,,raju,Nizamabad,hyd road,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-004,Pujitha Medical ,,PM,,,,,,,,,,,,,,,,Nizamabad,pragathi nagar,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-005,Sri Sai Durga,,SSD,,,,,,,,,,,,,,,,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-006,Vaishnavi,,V,,,,,,,,,,,,,,,reddy,Nizamabad,pragathi nagar,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-007,Anupama,,A,,,,,,,,,,,,,,,giri,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-008,Laxmi Narsimha Swamy,,LNS,,,,,,,,,,,,,,,,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-009,Meenakshi,,M,,,,,,,,,,,,,,,Lalitha,Nizamabad,pragathi nagar,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-010,Jayalaxmipriya,,J,,,,,,,,,,,,,,,Raja reddy,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
