SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Long
CHL-001,M J MEDICAL,,MJM,,,,,,,,,,,,,,,,First Lincer,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.403749,78.4491815
CHL-002,REALEF FARMACY,,RF,,,,,,,,,,,,,,,,First Lincer,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.403749,78.4491815
CHL-003,AL SIFA MEDICAL,,ASM,,,,,,,,,,,,,,,,First Lincer,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.403749,78.4491815
CHL-004,ZAMZAM MEDICAL,,ZM,,,,,,,,,,,,,,,,First Lincer,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.403749,78.4491815
CHL-005,SAAD MEDICAL,,SM,,,,,,,,,,,,,,,,First Lincer,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.403749,78.4491815
CHL-006,K H MEDICAL,,KHM,,,,,,,,,,,,,,,,First Lincer,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.403749,78.4491815
CHL-007,REAL MEDICAL,,RM,,,,,,,,,,,,,,,,First Lincer,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.403749,78.4491815
CHL-008,MEDPLUSE MEDICAL,,MM,,,,,,,,,,,,,,,,First Lincer,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.403749,78.4491815
CHL-009,PASHA MEDICAL,,PM,,,,,,,,,,,,,,,,Towlichowki,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3990312,78.4153224
CHL-010,SAFA MEDICAL,,SM,,,,,,,,,,,,,,,,Towlichowki,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3990312,78.4153224
CHL-011,ARIF MEDICAL,,AM,,,,,,,,,,,,,,,,Towlichowki,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3990312,78.4153224
CHL-012,KHWABA MEDICAL,,KM,,,,,,,,,,,,,,,,Towlichowki,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3990312,78.4153224
CHL-013,HAYATT FARMACY,,HF,,,,,,,,,,,,,,,,Towlichowki,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3990312,78.4153224
CHL-014,AZAR MEDICAL,,AM,,,,,,,,,,,,,,,,Towlichowki,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3990312,78.4153224
CHL-015,S R MEDICAL,,SRM,,,,,,,,,,,,,,,,Towlichowki,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3990312,78.4153224
CHL-016,KHURANA MEDICAL,,KM,,,,,,,,,,,,,,,,Towlichowki,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3990312,78.4153224
CHL-017,MAVA MEDICAL,,MM,,,,,,,,,,,,,,,,Towlichowki,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3990312,78.4153224
